C4,RhlIPlus,RhlI(C12=0),RhlI(C12=0.4),RhlI(C12=0.8),RhlI(C12=1.2),RhlI(C12=1.6),RhlI(C12=2)
1.568,61792.5989086589,54725.6966174803,110621.026470764,114048.50363845,115286.354655278,115924.856490253,116314.461298426
1.572,61869.7287182078,54732.0537113609,110627.383564645,114054.86073233,115292.711749159,115931.213584134,116320.818392306
1.576,61946.6642752278,54738.3947948095,110633.724648093,114061.201815779,115299.052832607,115937.554667583,116327.159475755
1.58,62023.4063126377,54744.719928234,110640.049781518,114067.526949203,115305.377966032,115943.879801007,116333.484609179
1.584,62099.9555596737,54751.0291717384,110646.359025022,114073.836192708,115311.687209536,115950.189044512,116339.793852684
1.588,62176.3127419129,54757.3225851254,110652.652438409,114080.129606095,115317.980622923,115956.482457899,116346.087266071
1.592,62252.4785812955,54763.6002278977,110658.930081181,114086.407248867,115324.258265695,115962.760100671,116352.364908843
1.596,62328.4537961485,54769.8621592604,110665.192012544,114092.66918023,115330.520197058,115969.022032034,116358.626840206
1.6,62404.2391012074,54776.1084381226,110671.438291406,114098.915459092,115336.76647592,115975.268310896,116364.873119068
1.604,62479.8352076394,54782.339123099,110677.668976383,114105.146144068,115342.997160897,115981.498995872,116371.103804044
1.608,62555.242823065,54788.5542725124,110683.884125796,114111.361293482,115349.21231031,115987.714145286,116377.318953458
1.612,62630.4626515804,54794.7539443947,110690.083797678,114117.560965364,115355.411982192,115993.913817168,116383.51862534
1.616,62705.4953937793,54800.9381964895,110696.268049773,114123.745217459,115361.596234287,116000.098069263,116389.702877435
1.62,62780.3417467748,54807.1070862533,110702.436939537,114129.914107223,115367.765124051,116006.266959026,116395.871767199
1.624,62855.0024042208,54813.2606708575,110708.590524141,114136.067691827,115373.918708655,116012.420543631,116402.025351803
1.628,62929.4780563336,54819.3990071903,110714.728860474,114142.20602816,115380.057044988,116018.558879964,116408.163688136
1.632,63003.7693899132,54825.5221518582,110720.852005142,114148.329172827,115386.180189656,116024.682024631,116414.286832804
1.636,63077.8770883639,54831.630161188,110726.960014472,114154.437182157,115392.288198986,116030.790033961,116420.394842133
1.64,63151.8018317162,54837.723091228,110733.052944512,114160.530112197,115398.381129026,116036.882964001,116426.487772173
1.644,63225.5442966465,54843.8009977507,110739.130851034,114166.60801872,115404.459035548,116042.960870524,116432.565678696
1.648,63299.1051564988,54849.8639362533,110745.193789537,114172.670957223,115410.521974051,116049.023809026,116438.628617199
1.652,63372.4850813044,54855.9119619604,110751.241815244,114178.71898293,115416.569999758,116055.071834734,116444.676642906
1.656,63445.6847378026,54861.9451298251,110757.274983109,114184.752150794,115422.603167623,116061.105002598,116450.70981077
1.66,63518.704789461,54867.9634945309,110763.293347815,114190.7705155,115428.621532329,116067.123367304,116456.728175476
1.664,63591.5458964951,54873.9671104933,110769.296963777,114196.774131463,115434.625148291,116073.126983266,116462.731791439
1.668,63664.2087158887,54879.9560318612,110775.285885145,114202.76305283,115440.614069659,116079.115904634,116468.720712806
1.672,63736.6939014133,54885.930312519,110781.260165803,114208.737333488,115446.588350317,116085.090185292,116474.694993464
1.676,63809.002103648,54891.8900060879,110787.219859372,114214.697027057,115452.548043886,116091.049878861,116480.654687033
